Comment,Designator,Footprint,LCSC
"100nF","C1","Capacitor_SMD:C_0805_2012Metric","C49678"
"SM4007PL","D1","Diode_SMD:D_SOD-123F","C64898"
"Conn_I2C","J1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"Conn_LED","J2","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Horizontal",""
"Conn_Fan","J3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"Conn_ON_OFF","J4","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"M2.5","MK1,MK2","MountingHole:MountingHole_2.7mm_M2.5",""
"Conn_Pi","P1","Connector_PinSocket_2.54mm:PinSocket_2x09_P2.54mm_Vertical",""
"S8050 NPN","Q1","Package_TO_SOT_SMD:SOT-23","C2146"
"820","R1,R2,R3,R4","Resistor_SMD:R_0805_2012Metric","C17837"
"3K3","R5","Resistor_SMD:R_0805_2012Metric","C26010"
"3","T1","user:SMT_JLCPCB_ToolingHole",""
"4","T2","user:SMT_JLCPCB_ToolingHole",""
"DS3231M","U1","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm",""
